1250,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,无磕碰掉漆，有轻微划痕,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1230,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,仅有1-2处磕碰掉漆,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1030,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,有多处磕碰、掉漆,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1280,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,经常使用，完好有细微划痕,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,几乎全新，无任何瑕疵,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
980,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,屏幕有裂痕、缺角、碎裂,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,几乎全新，无任何瑕疵,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
1280,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,经常使用，显示正常轻微亮黑点,Intel 酷睿 i5 6代,几乎全新，无任何瑕疵,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
980,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,显示异常，有色斑、漏光、花屏,Intel 酷睿 i5 6代,几乎全新，无任何瑕疵,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
980,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,几乎全新，无任何瑕疵,触摸屏功能不正常,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件
580,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,几乎全新，无任何瑕疵,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件,机身进水
580,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,几乎全新，无任何瑕疵,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件,严重维修
980,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,几乎全新，无任何瑕疵,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件,硬盘损坏、健康度低、硬盘锁
1040,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,几乎全新，无任何瑕疵,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件,键盘外观磨损、功能异常
980,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,几乎全新，无任何瑕疵,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件,无电池，电池鼓胀或不供电
1040,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,几乎全新，无任何瑕疵,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件,触摸板外观磨损、功能异常 
980,联想 YOGA 4 Pro (YOGA 900) 系列,固态硬盘240GB-288GB,2GB-3GB ,开机后能进入操作系统桌面,很少使用，完美无任何痕迹,很少使用，显示完美几乎全新,Intel 酷睿 i5 6代,几乎全新，无任何瑕疵,核芯/集成显卡,不含机械硬盘,无硬件锁,显卡功能正常,不缺件,接口功能异常
